Question Number|Question|Choices|Correct Answer|Translation
11|"Ποιοι πολίτες έχουν το δικαίωμα να ψηφίσουν στις εκλογές του προέδρου της Κύπρου αν έχουν εγκαταλείψει τη χώρα για εργασία ή σπουδές;"|"Α) Όλοι οι Κύπριοι πολίτες, Β) Μόνο οι πολίτες της Ευρωπαϊκής Ένωσης, Γ) Μόνο οι πολίτες που διαμένουν σε συγκεκριμένες χώρες, Δ) Κανένας πολίτης δεν έχει το δικαίωμα να ψηφίσει αν έχει εγκαταλείψει τη χώρα"|0|"Кто имеет право голосовать на выборах президента Кипра, если они уехали из страны для работы или учебы? Α) Все граждане Кипра, Β) Только граждане ЕС, Γ) Только граждане, проживающие в определенных странах, Δ) Никто не имеет права голосовать, если покинул страну"
12|"Ποια ήταν η ημερομηνία του πραξικοπήματος στην Κύπρο το 1974;"|"Α) 15 Ιουλίου 1974, Β) 20 Ιουλίου 1974, Γ) 25 Ιουλίου 1974, Δ) 30 Ιουλίου 1974"|1|"Какая дата переворота на Кипре в 1974 году? Α) 15 июля 1974 года, Β) 20 июля 1974 года, Γ) 25 июля 1974 года, Δ) 30 июля 1974 года"
13|"Ποια χώρα εμπλέκεται στο πραξικόπημα του 1974 στην Κύπρο;"|"Α) Ελλάδα, Β) Τουρκία, Γ) Ηνωμένο Βασίλειο, Δ) Ηνωμένες Πολιτείες"|0|"Какая страна была вовлечена в переворот на Кипре в 1974 году? Α) Греция, Β) Турция, Γ) Великобритания, Δ) Соединенные Штаты"
14|"Ποια είναι η κύρια αιτία που οδήγησε στο πραξικόπημα του 1974 στην Κύπρο;"|"Α) Εθνοτικές διαφορές μεταξύ Ελληνοκυπρίων και Τουρκοκυπρίων, Β) Οικονομική κρίση στην Κύπρο, Γ) Εξωτερικές πιέσεις από την Ευρωπαϊκή Ένωση, Δ) Συνθήκες αστάθειας στην περιοχή της Μεσογείου"|0|"Какова основная причина переворота на Кипре в 1974 году? Α) Этнические различия между греко-киприотами и турко-киприотами, Β) Экономический кризис на Кипре, Γ) Внешнее давление со стороны Европейского Союза, Δ) Условия нестабильности в районе Средиземного моря"
15|"Πότε εγκρίθηκε το Σύνταγμα της Κύπρου;"|"Α) Το 1960, Β) Το 1974, Γ) Το 1983, Δ) Το 1990"|0|"Когда была принята Конституция Кипра? Α) В 1960 году, Β) В 1974 году, Γ) В 1983 году, Δ) В 1990 году"
16|"Ποιο είναι το πολιτικό καθεστώς της Κύπρου σύμφωνα με το Σύνταγμα;"|"Α) Προεδρική δημοκρατία, Β) Παραλληλογραφή Δημοκρατία, Γ) Ομοσπονδιακή Δημοκρατία, Δ) Συνταγματική Μοναρχία"|0|"Каков политический строй Кипра согласно Конституции? Α) Президентская республика, Β) Параллельная республика, Γ) Федеративная республика, Δ) Конституционная монархия"
17|"Ποια είναι η επίσημη ονομασία των Ένοπλων Δυνάμεων της Κύπρου;"|"Α) Εθνική Φρουρά, Β) Εθνοφρουρία, Γ) Κυπριακή Αμυντική Δύναμη, Δ) Κυπριακή Φρουρά"|0|"Какое официальное название Вооруженных сил Кипра? Α) Национальная гвардия, Β) Этногвардия, Γ) Кипрские силы обороны, Δ) Кипрская гвардия"
18|"Ποιος είναι ο ρόλος του στρατού στην Κύπρο;"|"Α) Εσωτερική ασφάλεια και άμυνα της Κύπρου, Β) Διεθνής ειρήνη και ανθρωπιστική βοήθεια, Γ) Εξωτερικές επιχειρήσεις και καταπολέμηση της τρομοκρατίας, Δ) Πολιτικές αποστολές και προώθηση της διπλωματίας"|0|"Какова роль армии на Кипре? Α) Внутренняя безопасность и оборона Кипра, Β) Международный мир и гуманитарная помощь, Γ) Внешние операции и борьба с терроризмом, Δ) Политические миссии и продвижение дипломатии"
19|"Ποια είναι η ηλικία κατάταξης στην υποχρεωτική στρατιωτική θητεία στην Κύπρο;"|"Α) 18 ετών, Β) 19 ετών, Γ) 20 ετών, Δ) 21 ετών"|0|"Какой возраст призыва на обязательную военную службу на Кипре? Α) 18 лет, Β) 19 лет, Γ) 20 лет, Δ) 21 год"
20|"Ποιο είναι το κύριο έμβλημα του στρατού στην Κύπρο;"|"Α) Αετός, Β) Λεόνταυρος, Γ) Δελφίνι, Δ) Κρητικός ταύρος"|0|"Каков главный символ армии на Кипре? Α) Орел, Β) Леонтавр, Γ) Дельфин, Δ) Критский бык"
21|"Ποιο είναι το πλήρες ακρωνύμιο της ΕΟΚΑ;"|"Α) Εθνική Οργάνωση Κυπρίων Αγωνιστών, Β) Εθνική Ομάδα Κυπρίων Ανταρτών, Γ) Εθνική Οργάνωση Κυπριακής Ανεξαρτησίας, Δ) Εθνική Ομοσπονδία Κυπριακών Αθλητικών"|0|"Что означает аббревиатура ЕОКА? Α) Национальная организация кипрских борцов, Β) Национальная группа кипрских повстанцев, Γ) Национальная организация кипрской независимости, Δ) Национальная федерация кипрских спортивных ассоциаций"
22|"Πότε ιδρύθηκε η ΕΟΚΑ;"|"Α) Το 1955, Β) Το 1960, Γ) Το 1974, Δ) Το 1980"|0|"Когда была основана ЕОКА? Α) В 1955 году, Β) В 1960 году, Γ) В 1974 году, Δ) В 1980 году"
23|"Πότε ολοκληρώθηκε ο αγώνας της ΕΟΚΑ;"|"Α) Το 1959, Β) Το 1960, Γ) Το 1974, Δ) Το 1980"|0|"Когда завершилась борьба ЕОКА? Α) В 1959 году, Β) В 1960 году, Γ) В 1974 году, Δ) В 1980 году"
24|"Τι ακριβώς αναπαριστά το ακρωνύμιο ΚΕΠ;"|"Α) Κέντρο Ευημερίας Πολιτών, Β) Κέντρο Εκπαίδευσης Πολιτών, Γ) Κέντρο Επικοινωνίας Πολιτών, Δ) Κέντρο Εξυπηρέτησης Πολιτών"|3|"Что означает аббревиатура КЕП? Α) Центр благосостояния граждан, Β) Центр обучения граждан, Γ) Центр связи с гражданами, Δ) Центр обслуживания граждан"
25|"Ποιος οργανισμός είναι υπεύθυνος για τη λειτουργία των ΚΕΠ στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Υγείας, Δ) Υπουργείο Εργασίας"|1|"Какое учреждение отвечает за работу КЕП на Кипре? Α) Министерство внутренних дел, Β) Министерство финансов, Γ) Министерство здравоохранения, Δ) Министерство труда"
26|"Πού μπορεί κάποιος να βρει τα ΚΕΠ στην Κύπρο;"|"Α) Σε όλες τις μεγάλες πόλεις και χωριά της Κύπρου, Β) Μόνο στην πρωτεύουσα, Λευκωσία, Γ) Μόνο σε επιλεγμένες περιοχές της Κύπρου, Δ) Μόνο σε αστικές περιοχές της Κύπρου"|0|"Где можно найти КЕП на Кипре? Α) Во всех крупных городах и деревнях Кипра, Β) Только в столице, Никосии, Γ) Только в отдельных районах Кипра, Δ) Только в городских районах Кипра"
27|"Ποια είναι η λειτουργία της ΓΕΣΥ στην Κύπρο;"|"Α) Υπεύθυνη για τη διαχείριση των στρατιωτικών εγκαταστάσεων στην Κύπρο, Β) Υπεύθυνη για την παροχή υπηρεσιών υγείας στους πολίτες της Κύπρου, Γ) Υπεύθυνη για την οργάνωση και την προαγωγή του αθλητισμού στην Κύπρο, Δ) Υπεύθυνη για τη διαχείριση των κοινοτικών υπηρεσιών στην Κύπρο"|1|"Какова функция ГЕСИ на Кипре? Α) Ответственна за управление военными объектами на Кипре, Β) Ответственна за оказание медицинских услуг гражданам Кипра, Γ) Ответственна за организацию и продвижение спорта на Кипре, Δ) Ответственна за управление коммунальными услугами на Кипре"
28|"Ποιο υπουργείο είναι υπεύθυνο για την ΓΕΣΥ στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Εργασίας και Κοινωνικών Ασφαλίσεων, Δ) Υπουργείο Υγείας"|3|"Какое министерство отвечает за ГЕСИ на Кипре? Α) Министерство внутренних дел, Β) Министерство финансов, Γ) Министерство труда и социального обеспечения, Δ) Министерство здравоохранения"
29|"Ποιες υπηρεσίες παρέχονται από τη ΓΕΣΥ στην Κύπρο;"|"Α) Παροχή ιατρικών εξετάσεων και περίθαλψης, Β) Παροχή κοινωνικών παροχών και επιδομάτων, Γ) Παροχή εκπαιδευτικών υπηρεσιών και σεμιναρίων, Δ) Παροχή δημόσιων συγκοινωνιακών υπηρεσιών"|0|"Какие услуги предоставляет ГЕСИ на Кипре? Α) Проведение медицинских осмотров и лечение, Β) Предоставление социальных пособий и льгот, Γ) Предоставление образовательных услуг и семинаров, Δ) Предоставление услуг общественного транспорта"
30|"Πού μπορούν οι πολίτες να λάβουν πληροφορίες σχετικά με τη ΓΕΣΥ στην Κύπρο;"|"Α) Σε ιδιωτικά κέντρα υγείας, Β) Σε νοσοκομεία και κέντρα υγείας της κυβέρνησης, Γ) Στις τοπικές αυτοδιοικήσεις, Δ) Στον επίσημο ιστότοπο της ΓΕΣΥ"|3|"Где граждане могут получить информацию о ГЕСИ на Кипре? Α) В частных медицинских центрах, Β) В государственных больницах и медицинских центрах, Γ) В местных органах самоуправления, Δ) На официальном сайте ГЕСИ"
31|"Ποιος είναι ο ρόλος της Αστυνομίας στην Κύπρο;"|"Α) Προώθηση του πολιτισμού και της εκπαίδευσης, Β) Παροχή υπηρεσιών υγείας και φροντίδας των πολιτών, Γ) Διασφάλιση της δημόσιας τάξης, της ασφάλειας και της εφαρμογής του νόμου, Δ) Προώθηση του τουρισμού και της ανάπτυξης του εμπορίου"|2|"Какова роль полиции на Кипре? Α) Продвижение культуры и образования, Β) Оказание медицинских услуг и забота о гражданах, Γ) Обеспечение общественного порядка, безопасности и соблюдения закона, Δ) Продвижение туризма и развитие торговли"
32|"Πού μπορούν οι πολίτες να απευθυνθούν για να αναφέρουν ένα περιστατικό ή να ζητήσουν βοήθεια από την Αστυνομία;"|"Α) Σε καταστήματα κοινότητας, Β) Σε ιατρεία και νοσοκομεία, Γ) Σε αστυνομικά τμήματα και κεντρικό αστυνομικό σταθμό, Δ) Στο υπουργείο αστυνομίας"|2|"Куда граждане могут обратиться для сообщения о происшествии или получения помощи от полиции? Α) В общественные центры, Β) В клиники и больницы, Γ) В полицейские участки и центральное полицейское управление, Δ) В министерство полиции"
33|"Τι είναι η ΑΗΚ;"|"Α) Ο φορέας παραγωγής και διανομής ηλεκτρικής ενέργειας στην Κύπρο, Β) Μια μη κυβερνητική οργάνωση που προωθεί την αειφορία και την προστασία του περιβάλλοντος, Γ) Ένας κοινωνικός φορέας που παρέχει υπηρεσίες κοινωνικής πρόνοιας, Δ) Ένας αθλητικός σύλλογος που προάγει την άθληση και την υγεία"|0|"Что такое АИК? Α) Организация по производству и распределению электроэнергии на Кипре, Β) Некоммерческая организация, продвигающая устойчивое развитие и охрану окружающей среды, Γ) Социальная организация, предоставляющая услуги социального обеспечения, Δ) Спортивный клуб, продвигающий спорт и здоровье"
34|"Ποιες είναι οι βασικές αρμοδιότητες της ΑΗΚ;"|"Α) Παραγωγή, διανομή και πώληση ηλεκτρικής ενέργειας στην Κύπρο, Β) Παροχή ιατροφαρμακευτικών υπηρεσιών στους πολίτες, Γ) Παροχή εκπαιδευτικών υπηρεσιών σε φοιτητές και εργαζόμενους, Δ) Οργάνωση αθλητικών εκδηλώσεων και αγώνων"|0|"Каковы основные обязанности АИК? Α) Производство, распределение и продажа электроэнергии на Кипре, Β) Предоставление медицинских и фармацевтических услуг гражданам, Γ) Предоставление образовательных услуг студентам и работникам, Δ) Организация спортивных мероприятий и соревнований"
35|"Πού μπορούν οι κάτοικοι της Κύπρου να απευθυνθούν για να λύσουν θέματα ηλεκτροδότησης ή να υποβάλουν προβλήματα στην ΑΗΚ;"|"Α) Σε τοπικά καταστήματα ψιλικών και μίνι μάρκετ, Β) Στο υπουργείο ενέργειας και υδροκαρβυκών, Γ) Στα επαρχιακά γραφεία της ΑΗΚ, Δ) Στο κοινοβούλιο της Κύπρου"|2|"Куда могут обратиться жители Кипра для решения вопросов электроснабжения или подачи жалоб в АИК? Α) В местные магазины и мини-маркеты, Β) В министерство энергетики и углеводородов, Γ) В районные офисы АИК, Δ) В парламент Кипра"
36|"Ποιες είναι οι βασικές υπηρεσίες που προσφέρει το Ταχυδρομείο στην Κύπρο;"|"Α) Παράδοση γραμμάτων και δέματων, Β) Παροχή τηλεπικοινωνιακών υπηρεσιών, Γ) Παροχή υπηρεσιών ταχυδρομικής τραπεζικής, Δ) Παροχή υπηρεσιών κοινωνικής πρόνοιας"|0|"Каковы основные услуги, предоставляемые Почтой Кипра? Α) Доставка писем и посылок, Β) Предоставление телекоммуникационных услуг, Γ) Предоставление почтовых банковских услуг, Δ) Предоставление услуг социального обеспечения"
37|"Ποια είναι η κανονική διαδικασία παραλαβής ενός πακέτου από το Ταχυδρομείο;"|"Α) Προσέλευση στο τοπικό γραφείο του Ταχυδρομείου με την επίδειξη ταυτότητας, Β) Προσέλευση στον κεντρικό χώρο ταχυδρομικής διανομής της πόλης, Γ) Παραλαβή του πακέτου από τον υπάλληλο της εταιρείας μεταφορών, Δ) Παράδοση του πακέτου στον παραλήπτη μέσω ασφαλούς αποστολής"|0|"Каков стандартный процесс получения посылки на Почте? Α) Посещение местного почтового отделения с удостоверением личности, Β) Посещение центрального почтового распределительного пункта города, Γ) Получение посылки от сотрудника транспортной компании, Δ) Доставка посылки получателю через безопасную отправку"
38|"Ποιος είναι ο ρόλος της Βουλής στην Κύπρο;"|"Α) Να ασκεί τη νομοθετική εξουσία της χώρας, Β) Να διορίζει τον Πρόεδρο της Κύπρου, Γ) Να διαχειρίζεται τον εκτελεστικό κλάδο της κυβέρνησης, Δ) Να εποπτεύει τη δράση των στρατιωτικών δυνάμεων στην Κύπρο"|0|"Какова роль парламента на Кипре? Α) Осуществление законодательной власти в стране, Β) Назначение президента Кипра, Γ) Управление исполнительной ветвью власти, Δ) Контроль за действиями вооруженных сил на Кипре"
39|"Από πόσα μέλη αποτελείται η Βουλή στην Κύπρο;"|"Α) 50 μέλη, Β) 80 μέλη, Γ) 100 μέλη, Δ) 150 μέλη"|1|"Сколько членов в парламенте на Кипре? Α) 50 членов, Β) 80 членов, Γ) 100 членов, Δ) 150 членов"
40|"Ποιος είναι ο χρόνος θητείας ενός μέλους της Βουλής στην Κύπρο;"|"Α) 5 έτη, Β) 4 έτη, Γ) 6 έτη, Δ) 8 έτη"|0|"Каков срок полномочий члена парламента на Кипре? Α) 5 лет, Β) 4 года, Γ) 6 лет, Δ) 8 лет"
41|"Η πρώτη γυναίκα πρόεδρος Βουλής από την ίδρυση της Κυπριακής Δημοκρατίας το 1960 είναι."|"Α) Αννίτα Δημητρίου, Β) Άννα Δημητρίου, Γ) Αννίτα Νικολάου, Δ) Άννα Νικολάου"|0|"Первой женщиной-председателем парламента с момента основания Кипрской Республики в 1960 году является: Α) Аннита Димитриу, Β) Анна Димитриу, Γ) Аннита Николау, Δ) Анна Николау"
42|"Ποια είναι η βασική αποστολή της Πυροσβεστικής Υπηρεσίας στην Κύπρο;"|"Α) Την πρόληψη και καταπολέμηση των πυρκαγιών, Β) Την επιβολή προστίμων σε παραβάτες του κανονισμού κατά της πυρπόλησης, Γ) Την αποκατάσταση των ζημιών που προκαλούνται από πυρκαγιές, Δ) Την παροχή ιατρικής βοήθειας σε θύματα πυρκαγιών"|0|"Какова основная миссия пожарной службы на Кипре? Α) Профилактика и тушение пожаров, Β) Наложение штрафов на нарушителей правил противопожарной безопасности, Γ) Восстановление ущерба, причиненного пожарами, Δ) Оказание медицинской помощи жертвам пожаров"
43|"Ποιος είναι ο ρόλος των οργανώσεων και των αρχών στην παροχή βοήθειας στους πρόσφυγες στην Κύπρο;"|"Α) Παρέχουν οικονομική ενίσχυση και υπηρεσίες υγείας, Β) Προωθούν την ένταξη στην κοινωνία και την εκπαίδευση, Γ) Παρέχουν νομική συμβουλή και προστασία, Δ) Όλα τα παραπάνω"|3|"Какова роль организаций и властей в оказании помощи беженцам на Кипре? Α) Оказание финансовой поддержки и медицинских услуг, Β) Содействие интеграции в общество и образование, Γ) Предоставление юридических консультаций и защиты, Δ) Все вышеперечисленное"
44|"Τι εννοούμε με τον όρο 'Νεκρή Ζώνη' στην Κύπρο;"|"Α) Μια περιοχή στην Κύπρο όπου η πρόσβαση είναι απαγορευμένη, Β) Μια περιοχή στην Κύπρο με χαμηλή πυκνότητα πληθυσμού, Γ) Μια περιοχή στην Κύπρο με έντονη βιοποικιλότητα, Δ) Μια περιοχή στην Κύπρο με εμπορικές δραστηριότητες"|0|"Что подразумевается под термином 'Мертвая зона' на Кипре? Α) Район на Кипре, где доступ запрещен, Β) Район на Кипре с низкой плотностью населения, Γ) Район на Кипре с высоким биоразнообразием, Δ) Район на Кипре с коммерческой деятельностью"
45|"Ποιος ελέγχει τη Νεκρή Ζώνη στην Κύπρο;"|"Α) Η Κυπριακή Κυβέρνηση, Β) Τα Ηνωμένα Έθνη, Γ) Η Τουρκική Στρατιωτική Δύναμη, Δ) Οι τοπικές αυτοδιοικήσεις στην Κύπρο"|1|"Кто контролирует Мертвую зону на Кипре? Α) Кипрское правительство, Β) Организация Объединенных Наций, Γ) Турецкие вооруженные силы, Δ) Местные органы самоуправления на Кипре"
46|"Πότε δημιουργήθηκε η Νεκρή Ζώνη στην Κύπρο;"|"Α) Το 1964, Β) Το 1974, Γ) Το 1983, Δ) Το 1995"|0|"Когда была создана Мертвая зона на Кипре? Α) В 1964 году, Β) В 1974 году, Γ) В 1983 году, Δ) В 1995 году"
47|"Ποιες είναι οι κύριες επιπτώσεις της Νεκρής Ζώνης στην Κύπρο;"|"Α) Οικονομικές προκλήσεις και περιορισμένη πρόσβαση στους πόρους, Β) Απομόνωση και διάσπαση της κοινότητας, Γ) Επιπτώσεις στο περιβάλλον και τη βιοποικιλότητα, Δ) Όλα τα παραπάνω"|1|"Каковы основные последствия Мертвой зоны на Кипре? Α) Экономические проблемы и ограниченный доступ к ресурсам, Β) Изоляция и разобщенность общины, Γ) Влияние на окружающую среду и биоразнообразие, Δ) Все вышеперечисленное"
48|"Με ποιες συμφωνίες η Κύπρος έγινε ανεξάρτητο κράτος;"|"Α) Ζυρίχης-Λονδίνου, Β) Βρυξελλών, Γ) Γενεύης"|0|"Какими соглашениями Кипр стал независимым государством? Α) Цюрих-Лондон, Β) Брюссель, Γ) Женева"
49|"Ποιος είναι ο σημερινός δήμαρχος της Λευκωσίας;"|"Α) Ανδρέας Βύρας, Β) Κωνσταντίνος Γιωρκάτζης, Γ) Χαράλαμπος Προύντζος, Δ) Φαίδωνας Φαίδονος"|2|"Кто является нынешним мэром Никосии? Α) Андреас Вирас, Β) Константинос Георкадзис, Γ) Хараламбос Прунтзос, Δ) Феодон Феодонис"
50|"Ποιος είναι ο σημερινός Αρχιεπίσκοπος της Κύπρου;"|"Α) Χρυσόστομος, Β) Γεώργιος, Γ) Μακάριος Γ'"|1|"Кто является нынешним архиепископом Кипра? Α) Хрисостом, Β) Георгий, Γ) Макариос III"
51|"Ποιος είναι ο τωρινός δήμαρχος της Λεμεσού;"|"Α) Φαίδωνας Φαίδωνος, Β) Γιάννης Αρμεύτης, Γ) Νίκος Νικολαΐδης"|1|"Кто является нынешним мэром Лимасола? Α) Феодон Феодонис, Β) Яннис Армеутис, Γ) Никос Николаидис"
52|"Πόσοι Κύπριοι εκπροσωπούν τη χώρα στο Ευρωπαικό Κοινοβούλιο;"|"Α) 2, Β) 4, Γ) 6"|2|"Сколько киприотов представляют страну в Европейском парламенте? Α) 2, Β) 4, Γ) 6"
