Question Number|Question|Choices|Correct Answer|Translation
8|"Σαράντα ημέρες μετά τον θάνατο τελείται μνημόσυνο και φτιάχνουμε κόλλυβα"|"Α) λάθος, Β) σωστό"|1|"Сорок дней после смерти проводится поминальная служба и готовится коливо"
8|"Οι Καλλικάντζαροι, σύμφωνα με την παράδοση, είναι τα καλά πνεύματα των Χριστουγέννων που φέρνουν καλοτυχία"|"Α) λάθος, Β) σωστό"|0|"Калликандзары, согласно традиции, это добрые духи Рождества, приносящие удачу"
8|"Όταν ξεκινάει η καινούρια σχολική χρονιά τελούμε αγιασμό"|"Α) λάθος, Β) σωστό"|1|"Когда начинается новый учебный год, мы совершаем освящение"
8|"Όταν κάποιος αρρωσταίνει φτιάχνουμε Φανουρόπιττα για να γίνει καλά"|"Α) λάθος, Β) σωστό"|0|"Когда кто-то заболевает, мы готовим Фануропиту, чтобы он выздоровел"
9|"Σύμφωνα με τη Θεογονία του Ησίοδου, η θεά Αφροδίτη γεννήθηκε."|"Α) από τον αφρό της θάλασσας, Β) σε μία σπηλιά της Αφρικής, Γ) από τον άφρονα Κένταυρο Ακταίωνα, Δ) από την αφράτη ζύμη της αμβροσίας"|0|"Согласно Теогонии Гесиода, богиня Афродита родилась: Α) из морской пены, Β) в пещере Африки, Γ) от безумного кентавра Актаеона, Δ) из пышного теста амброзии"
10|"Ποιος συνθέτης μελοποίησε τον «Ύμνον εις την Ελευθερίαν» του Διουνσίου Σολωμού, που αποτελεί τον εθνικό ύμνο της Ελλάδας και της Κύπρου;"|"Α) Μανώλης Καλομοίρης, Β) Νικόλαος Μάντζαρος, Γ) Νίκος Σκαλκώτας, Δ) Γεώργιος Λαμπελέτ"|1|"Какой композитор положил на музыку «Гимн к свободе» Дионисия Соломоса, который является национальным гимном Греции и Кипра? Α) Манолис Каломирис, Β) Николаос Мандзарос, Γ) Никос Скалькотас, Δ) Георгиос Ламбетис"
11|"Φέτος η τάξη μας θα κάνει ….. στη γιορτή της 28ης Οκτωβρίου. Εγώ θα είμαι στην πρώτη σειρά."|"Α) ανάσταση, Β) πάρτι, Γ) παρέλαση"|2|"В этом году наш класс будет делать ..... на празднике 28 октября. Я буду в первой шеренге: Α) воскрешение, Β) вечеринку, Γ) парад"
12|"Την ….. μαζευόμαστε όλη η οικογένεια γύρω από το γιορτινό τραπέζι και κόβουμε τη βασιλόπιτα."|"Α) Καθαρά Δευτέρα, Β) Μεγάλη Παρασκευή, Γ) Πρωτοχρονιά"|2|"На ..... вся семья собирается вокруг праздничного стола и режет василопиту: Α) Чистый понедельник, Β) Великая пятница, Γ) Новый год"
13|"Την …… των Χριστουγέννων τα παιδιά βγαίνουν στους δρόμους και λένε τα κάλαντα."|"Α) επόμενη, Β) αναμονή, Γ) παραμονή"|2|"В канун Рождества дети выходят на улицы и поют колядки: Α) следующий день, Β) ожидание, Γ) канун"
14|"Το Μεγάλο Σάββατο το βράδυ όλοι βάζουμε τα καλά μας και πάμε στην εκκλησία για να γιορτάσουμε την του …. Χριστού."|"Α) Γέννηση, Β) Ανάσταση, Γ) Πρωτοχρονιά"|1|"В Великую субботу вечером мы все надеваем лучшее и идем в церковь, чтобы отпраздновать .... Христа: Α) Рождение, Β) Воскресение, Γ) Новый год"
15|"Φέτος στις …… θέλω να ντυθώ πολεμιστής."|"Α) σερπαντίνες, Β) καρναβάλια, Γ) απόκριες"|2|"В этом году на ...... я хочу одеться как воин: Α) серпантины, Β) карнавалы, Γ) масленица"
16|"Τον….. στο χωριό μου γίνεται ένα μεγάλο πανηγύρι στην πλατεία για να γιορτάσουμε την Παναγία."|"Α) Δεκαπενταύγουστο, Β) Πάσχα, Γ) χειμώνα"|0|"На ...... в моей деревне проводится большой праздник на площади, чтобы отпраздновать Успение: Α) Успение, Β) Пасха, Γ) зима"
17|"Πότε είναι η σου γιορτή, Αλέξανδρε; - Στις 30 Αυγούστου. Δεν το ξέρεις; Γιορτάζουν….. όλοι οι Αλέξανδροι."|"Α) ονομαστική, Β) οικογενειακή, Γ) εθνική"|0|"Когда твой праздник, Александр? - 30 августа. Ты не знаешь? Празднуют все Александры: Α) именинный, Β) семейный, Γ) национальный"
18|"Σήμερα έχω τα ….. μου. Γίνομαι 12 χρονών. - Α ναι; Χρόνια πολλά. Να τα εκατοστίσεις."|"Α) κάλαντα, Β) βαφτίσια, Γ) γενέθλια"|2|"Сегодня у меня ...... Мне исполнилось 12 лет. - О да? С днем рождения. Пусть тебе будет сто лет: Α) колядки, Β) крещение, Γ) день рождения"
19|"Την Κυριακή του Πάσχα μαζευόμαστε όλοι γύρω από το γιορτινό τραπέζι, τσουγκρίζουμε τα αυγά και ευχόμαστε « »."|"Α) «Να τα εκατοστίσεις», Β) «Χριστός Ανέστη», Γ) «Να ζήσετε»"|1|"В пасхальное воскресенье мы собираемся вокруг праздничного стола, разбиваем яйца и желаем «»: Α) Пусть тебе будет сто лет, Β) Христос воскрес, Γ) Да здравствуйте"
20|"Στις 28 … γιορτάζουμε το ΟΧΙ των Ελλήνων στους Ιταλούς."|"Α) Νοεμβρίου, Β) Μαρτίου, Γ) Οκτωβρίου"|2|"28 ...... мы празднуем НЕТ греков итальянцам: Α) ноября, Β) марта, Γ) октября"
21|"Την Καθαρά … μου αρέσει πολύ να πηγαίνω στην εξοχή και να πετάω χαρταετό."|"Α) Δευτέρα, Β) Τρίτη, Γ) Τετάρτη"|0|"На Чистый ...... мне очень нравится выезжать на природу и запускать воздушного змея: Α) понедельник, Β) вторник, Γ) среда"
22|"Στην Ελλάδα σαράντα μέρες πριν το Πάσχα …., δεν τρώμε δηλαδή κρέας γάλα και αυγά."|"Α) σουβλίζουμε, Β) πιστεύουμε, Γ) νηστεύουμε"|2|"В Греции за сорок дней до Пасхи мы ......, то есть не едим мясо, молоко и яйца: Α) жарим, Β) верим, Γ) постимся"
23|"Χτες στα γενέθλια του Πέτρου …. πολύ. Φάγαμε ήπιαμε και χορέψαμε. Ήταν πολύ ωραία."|"Α) διασκεδάσαμε, Β) στεναχωρεθήκαμε, Γ) πήγαμε"|0|"Вчера на дне рождения Петра мы ...... много. Ели, пили и танцевали. Было очень хорошо: Α) развлекались, Β) грустили, Γ) ходили"
24|"Πότε οι Κύπριοι μαγειρεύουν φλάουνες;"|"Α) το Πάσχα, Β) τα Χριστούγεννα, Γ) την Πρωτομαγιά, Δ) τον Δεκαπενταύγουστο"|0|"Когда киприоты готовят флауны? Α) на Пасху, Β) на Рождество, Γ) на Первомай, Δ) на Успение"
25|"Πώς ονομάζεται κέρμα που βάζουν στη βασιλόπιτα;"|"Α) το φλουρί, Β) το χρήμα, Γ) το λεπτό"|0|"Как называется монета, которую кладут в василопиту? Α) флури, Β) деньги, Γ) лепто"
26|"Ποιος Άγιος σχετίζεται με την παράδοση της πίτας της Πρωτοχρονιάς;"|"Α) Άγιος Βασίλης, Β) Άγιος Νικόλαος, Γ) Άγιος Σπυρίδων, Δ) Άγιος Αντώνιος"|0|"Какой святой связан с традицией новогоднего пирога? Α) Святой Василий, Β) Святой Николай, Γ) Святой Спиридон, Δ) Святой Антоний"
27|"Πώς ονομάζεται το έθιμο της κοπής της πρωτοχρονιάτικης πίτας στην Κύπρο;"|"Α) Βασιλόπιτα, Β) Πάστα της Πρωτοχρονιάς, Γ) Κυριακάτικη πίτα, Δ) Κουγιάρ"|0|"Как называется обычай резать новогодний пирог на Кипре? Α) Василопита, Β) Новогодний торт, Γ) Воскресный пирог, Δ) Кугьяр"
28|"Ποιο από τα παρακάτω δεν αποτελεί τυπικό φαγητό για το κυπριακό Πάσχα;"|"Α) Σουβλάκι, Β) Φλάουνες, Γ) Μαγειρίτσα, Δ) Φτιτά"|3|"Что из следующего не является типичным блюдом на кипрскую Пасху? Α) Шашлык, Β) Флауны, Γ) Магиритса, Δ) Фтита"
29|"Ποιος είναι ο Κυπριακός Άγιος που γιορτάζεται από περισσότερους κατοίκους;"|"Α) Άγιος Δημήτριος, Β) Άγιος Επίφανιος, Γ) Άγιος Ανδρέας, Δ) Άγιος Βαρνάβας"|2|"Какой кипрский святой празднуется наибольшим числом жителей? Α) Святой Дмитрий, Β) Святой Епифаний, Γ) Святой Андрей, Δ) Святой Варнава"
30|"Τι σημαίνει η παράδοση της \"Κουραμπιέδες;\" "|"Α) Κατασκευή ειδικών κεραμικών αντικειμένων, Β) Ζαχαροπλαστική παρασκευή γλυκού, Γ) Κατασκευή παραδοσιακών καρβουνοκοξυλιών, Δ) Επιλογή των πιο όμορφων λουλουδιών"|1|"Что означает традиция \"Курабьедес\"? Α) Изготовление специальных керамических изделий, Β) Кондитерское изготовление сладостей, Γ) Изготовление традиционных древесных углей, Δ) Выбор самых красивых цветов"
31|"Ποιο έθιμο συνδέεται με την περίοδο της Αποκριάς στην Κύπρο;"|"Α) Κομμάτι της Πρωτοχρονιάς, Β) Κοίταγμα των αηδονιών, Γ) Συμμετοχή σε παρέες με μάσκες, Δ) Κοπή των φύλλων λουλουδιών"|2|"Какой обычай связан с периодом карнавала на Кипре? Α) Частичка Нового года, Β) Наблюдение за соловьями, Γ) Участие в группах с масками, Δ) Срезание листьев цветов"
32|"Ποιο είναι το κυπριακό γλυκό που παρασκευάζεται από γάλα, σιμιγδάλι, και ζάχαρη και συνοδεύεται συνήθως από κανέλα;"|"Α) Μαρμαλάδα, Β) Κατσουράπια, Γ) Σιαντού, Δ) Γαλακτομπούρεκο"|3|"Какой кипрский десерт готовится из молока, манной крупы и сахара и обычно сопровождается корицей? Α) Мармела, Β) Катсурапия, Γ) Сианту, Δ) Галактобуреко"
33|"Πώς ονομάζεται ο παραδοσιακός χορός που χορεύεται συνήθως στα κυπριακά γλέντια;"|"Α) Τσιφτετέλι, Β) Συρτός, Γ) Ζεϊμπέκικος, Δ) Χασάπικος"|2|"Как называется традиционный танец, который обычно танцуют на кипрских праздниках? Α) Чифтетели, Β) Сиртос, Γ) Зейбек, Δ) Хасапикос"
34|"Ποιος είναι ο ρόλος του κουμπάρου σε έναν κυπριακό γάμο;"|"Α) Να προσφέρει ένα δώρο στους νεόνυμφους, Β) Να μεταφέρει τα δαχτυλίδια του γάμου, Γ) Να διαχειρίζεται τα οικονομικά της δεξίωσης, Δ) Να είναι ο κύριος μάρτυρας"|3|"Какова роль кума на кипрской свадьбе? Α) Подарить подарок новобрачным, Β) Перенести обручальные кольца, Γ) Управлять финансами приема, Δ) Быть главным свидетелем"
35|"Ποιο είναι το παραδοσιακό ρόφημα που μπορεί να σερβιριστεί σε έναν κυπριακό γάμο;"|"Α) Καφές, Β) Τσάι με μέντα, Γ) Κυπριακός καφές, Δ) Κακάο"|2|"Какой традиционный напиток может быть подан на кипрской свадьбе? Α) Кофе, Β) Чай с мятой, Γ) Кипрский кофе, Δ) Какао"
